964,396,963,395
965,396,964,395
966,396,965,395
967,396,966,395
968,396,967,395
969,396,968,395
970,396,969,395
971,396,970,395
972,396,971,395
973,396,972,395
974,396,973,395
974,396,973,395
975,396,974,395
976,396,975,395
977,396,976,395
978,396,977,395
979,396,978,395
980,396,979,395
964,395,963,394
965,395,964,394
966,395,965,394
967,395,966,394
968,395,967,394
969,395,968,394
970,395,969,394
971,395,970,394
972,395,971,394
973,395,972,394
974,395,973,394
974,395,973,394
975,395,974,394
976,395,975,394
977,395,976,394
978,395,977,394
979,395,978,394
980,395,979,394
964,394,963,393
966,394,965,393
966,394,965,393
967,394,966,393
968,394,967,393
970,394,969,393
971,394,970,393
972,394,971,393
973,394,972,393
974,394,973,393
974,394,973,393
975,394,974,393
976,394,975,393
978,394,977,393
978,394,977,393
979,394,978,393
980,394,979,393
964,394,963,393
966,393,965,392
966,393,965,392
967,393,966,392
968,393,967,392
969,393,968,392
970,393,969,392
971,393,970,392
972,393,971,392
973,393,972,392
974,393,973,392
974,393,973,392
975,393,974,392
976,394,975,393
978,394,977,393
978,394,977,393
979,393,978,392
980,393,979,392
966,393,965,392
966,393,965,392
966,393,965,392
967,393,966,392
968,393,967,392
969,393,968,392
970,393,969,392
971,393,970,392
972,393,971,392
973,393,972,392
974,393,973,392
974,393,973,392
975,393,974,392
976,392,975,391
979,393,978,392
979,393,978,392
980,393,979,392
963,391,962,390
966,392,965,391
966,392,965,391
967,392,966,391
968,392,967,391
969,392,968,391
970,392,969,391
971,392,970,391
972,392,971,391
972,392,971,391
975,392,974,391
976,392,975,391
979,392,978,391
979,392,978,391
979,392,978,391
966,391,965,390
966,391,965,390
967,391,966,390
970,391,969,390
970,391,969,390
971,391,970,390
974,390,973,389
974,390,973,389
975,390,974,389
979,392,978,391
981,391,980,390
965,390,964,389
966,390,965,389
969,390,968,389
970,390,969,389
970,390,969,389
974,390,973,389
980,390,979,389
980,390,979,389
964,389,963,388
965,389,964,388
966,390,965,389
968,390,967,389
968,390,967,389
969,390,968,389
970,390,969,389
970,390,969,389
974,389,973,388
980,390,979,389
980,390,979,389
964,388,963,387
969,390,968,389
970,390,969,389
974,389,973,388
974,389,973,388
975,388,974,387
975,388,974,387
976,388,975,387
978,388,977,387
980,388,979,387
973,387,972,386
975,388,974,387
975,388,974,387
976,388,975,387
977,388,976,387
979,387,978,386
980,388,979,387
975,387,974,386
975,387,974,386
976,387,975,386
979,387,978,386
980,387,979,386
