950,399,949,398
951,399,950,398
952,399,951,398
952,399,951,398
954,399,953,398
955,399,954,398
956,399,955,398
957,399,956,398
957,399,956,398
958,399,957,398
959,399,958,398
950,399,949,398
951,398,950,397
953,398,952,397
954,398,953,397
955,398,954,397
956,398,955,397
957,398,956,397
957,398,956,397
958,398,957,397
960,398,959,397
951,397,950,396
953,397,952,396
954,397,953,396
955,397,954,396
956,397,955,396
957,397,956,396
957,397,956,396
958,397,957,396
959,397,958,396
952,397,951,396
953,397,952,396
954,397,953,396
955,397,954,396
956,397,955,396
957,397,956,396
958,397,957,396
959,397,958,396
951,397,950,396
951,397,950,396
953,395,952,394
953,395,952,394
954,396,953,395
955,396,954,395
957,396,956,395
957,396,956,395
958,396,957,395
960,396,959,395
954,395,953,394
954,395,953,394
956,395,955,394
957,395,956,394
960,395,959,394
