Id,lat,lon
TYGJ1,34.5527992,128.0559998
TYGJ2,34.5527992,128.0980072
TYGJ3,34.5527992,128.1399994
TYGJ4,34.5527992,128.1809998
TYGJ5,34.5527992,128.2230072
TYGJ6,34.5527992,128.2649994
TYGJ7,34.5527992,128.3059998
TYGJ8,34.5527992,128.3480072
TYGJ9,34.5527992,128.3899994
TYGJ10,34.5527992,128.4309998
TYGJ11,34.5527992,128.4730072
TYGJ12,34.5527992,128.5149994
TYGJ13,34.5527992,128.5559998
TYGJ14,34.5527992,128.5980072
TYGJ15,34.5527992,128.6399994
TYGJ16,34.5527992,128.6809998
TYGJ17,34.5527992,128.7230072
TYGJ18,34.5527992,128.7649994
TYGJ19,34.5945015,128.0559998
TYGJ20,34.5945015,128.0980072
TYGJ21,34.5945015,128.1399994
TYGJ22,34.5945015,128.1809998
TYGJ23,34.5945015,128.2230072
TYGJ24,34.5945015,128.2649994
TYGJ25,34.5945015,128.3059998
TYGJ26,34.5945015,128.3480072
TYGJ27,34.5945015,128.3899994
TYGJ28,34.5945015,128.4309998
TYGJ29,34.5945015,128.4730072
TYGJ30,34.5945015,128.5149994
TYGJ31,34.5945015,128.5559998
TYGJ32,34.5945015,128.5980072
TYGJ33,34.5945015,128.6399994
TYGJ34,34.5945015,128.6809998
TYGJ35,34.5945015,128.7230072
TYGJ36,34.5945015,128.7649994
TYGJ37,34.6362,128.0559998
TYGJ38,34.6362,128.0980072
TYGJ39,34.6362,128.1399994
TYGJ40,34.6362,128.1809998
TYGJ41,34.6362,128.2230072
TYGJ42,34.6362,128.3059998
TYGJ43,34.6362,128.3480072
TYGJ44,34.6362,128.3899994
TYGJ45,34.6362,128.4309998
TYGJ46,34.6362,128.4730072
TYGJ47,34.6362,128.5149994
TYGJ48,34.6362,128.5559998
TYGJ49,34.6362,128.5980072
TYGJ50,34.6362,128.6399994
TYGJ51,34.6362,128.6809998
TYGJ52,34.6362,128.7230072
TYGJ53,34.6362,128.7649994
TYGJ54,34.6777992,128.0559998
TYGJ55,34.6777992,128.0980072
TYGJ56,34.6777992,128.1399994
TYGJ57,34.6777992,128.1809998
TYGJ58,34.6777992,128.2230072
TYGJ59,34.6777992,128.2649994
TYGJ60,34.6777992,128.3059998
TYGJ61,34.6777992,128.3480072
TYGJ62,34.6777992,128.3899994
TYGJ63,34.6777992,128.4309998
TYGJ64,34.6777992,128.4730072
TYGJ65,34.6777992,128.5149994
TYGJ66,34.6777992,128.5559998
TYGJ67,34.6777992,128.5980072
TYGJ68,34.6777992,128.6399994
TYGJ69,34.6777992,128.6809998
TYGJ70,34.6777992,128.7230072
TYGJ71,34.6777992,128.7649994
TYGJ72,34.7195015,128.0559998
TYGJ73,34.7195015,128.0980072
TYGJ74,34.7195015,128.1399994
TYGJ75,34.7195015,128.1809998
TYGJ76,34.7195015,128.2230072
TYGJ77,34.7195015,128.2649994
TYGJ78,34.7195015,128.3059998
TYGJ79,34.7195015,128.3480072
TYGJ80,34.7195015,128.3899994
TYGJ81,34.7195015,128.4309998
TYGJ82,34.7195015,128.4730072
TYGJ83,34.7195015,128.5149994
TYGJ84,34.7195015,128.5559998
TYGJ85,34.7195015,128.6399994
TYGJ86,34.7195015,128.6809998
TYGJ87,34.7195015,128.7230072
TYGJ88,34.7195015,128.7649994
TYGJ89,34.7612,128.0559998
TYGJ90,34.7612,128.0980072
TYGJ91,34.7612,128.1399994
TYGJ92,34.7612,128.1809998
TYGJ93,34.7612,128.2230072
TYGJ94,34.7612,128.2649994
TYGJ95,34.7612,128.3059998
TYGJ96,34.7612,128.3480072
TYGJ97,34.7612,128.3899994
TYGJ98,34.7612,128.4309998
TYGJ99,34.7612,128.5559998
TYGJ100,34.7612,128.6399994
TYGJ101,34.7612,128.6809998
TYGJ102,34.7612,128.7230072
TYGJ103,34.7612,128.7649994
TYGJ104,34.8028984,128.0980072
TYGJ105,34.8028984,128.1399994
TYGJ106,34.8028984,128.1809998
TYGJ107,34.8028984,128.2649994
TYGJ108,34.8028984,128.3059998
TYGJ109,34.8028984,128.3480072
TYGJ110,34.8028984,128.4730072
TYGJ111,34.8028984,128.5149994
TYGJ112,34.8028984,128.5559998
TYGJ113,34.8028984,128.6809998
TYGJ114,34.8028984,128.7649994
TYGJ115,34.8445015,128.0980072
TYGJ116,34.8445015,128.1399994
TYGJ117,34.8445015,128.2649994
TYGJ118,34.8445015,128.3059998
TYGJ119,34.8445015,128.3480072
TYGJ120,34.8445015,128.4730072
TYGJ121,34.8445015,128.7230072
TYGJ122,34.8445015,128.7649994
TYGJ123,34.8862,128.0559998
TYGJ124,34.8862,128.0980072
TYGJ125,34.8862,128.1399994
TYGJ126,34.8862,128.1809998
TYGJ127,34.8862,128.2230072
TYGJ128,34.8862,128.2649994
TYGJ129,34.8862,128.3059998
TYGJ130,34.8862,128.3480072
TYGJ131,34.8862,128.4730072
TYGJ132,34.8862,128.7230072
TYGJ133,34.8862,128.7649994
TYGJ134,34.9278984,128.0559998
TYGJ135,34.9278984,128.2649994
TYGJ136,34.9278984,128.3059998
TYGJ137,34.9278984,128.4309998
TYGJ138,34.9278984,128.4730072
TYGJ139,34.9278984,128.5149994
TYGJ140,34.9278984,128.5559998
TYGJ141,34.9278984,128.5980072
TYGJ142,34.9278984,128.7230072
TYGJ143,34.9278984,128.7649994
TYGJ144,34.9695015,128.4730072
TYGJ145,34.9695015,128.5149994
TYGJ146,34.9695015,128.5559998
TYGJ147,34.9695015,128.5980072
TYGJ148,34.9695015,128.6399994
TYGJ149,34.9695015,128.7230072
TYGJ150,34.9695015,128.7649994
TYGJ151,35.0112,128.5149994
TYGJ152,35.0112,128.5559998
TYGJ153,35.0112,128.5980072
TYGJ154,35.0112,128.7230072
TYGJ155,35.0112,128.7649994
